trial,testing,parameters,initial_deadline,final_deadline,net_reward,actions,success
107,False,"{'a': 0.5, 'e': 0.34300851741870764}",20,16,6.397695190593009,"{0: 4, 1: 0, 2: 0, 3: 0, 4: 0}",1
108,False,"{'a': 0.5, 'e': 0.3395955256449401}",20,11,-2.8316638290908855,"{0: 7, 1: 1, 2: 1, 3: 0, 4: 0}",1
109,False,"{'a': 0.5, 'e': 0.3362164937067343}",20,15,7.363751426825079,"{0: 5, 1: 0, 2: 0, 3: 0, 4: 0}",1
110,False,"{'a': 0.5, 'e': 0.3328710836980805}",20,7,23.296559709163834,"{0: 13, 1: 0, 2: 0, 3: 0, 4: 0}",1
111,False,"{'a': 0.5, 'e': 0.32955896107519}",30,5,-30.217776138500803,"{0: 20, 1: 4, 2: 0, 3: 0, 4: 1}",1
112,False,"{'a': 0.5, 'e': 0.3262797946230404}",20,12,-17.590784657282867,"{0: 5, 1: 1, 2: 2, 3: 0, 4: 0}",1
113,False,"{'a': 0.5, 'e': 0.32303325642225383}",20,8,-33.71854978128614,"{0: 8, 1: 0, 2: 3, 3: 1, 4: 0}",1
114,False,"{'a': 0.5, 'e': 0.3198190218163048}",20,12,13.644180338602748,"{0: 8, 1: 0, 2: 0, 3: 0, 4: 0}",1
115,False,"{'a': 0.5, 'e': 0.3166367693790541}",20,0,-80.4248650031609,"{0: 13, 1: 0, 2: 6, 3: 0, 4: 1}",0
116,False,"{'a': 0.5, 'e': 0.3134861808826062}",20,13,11.724464765263377,"{0: 7, 1: 0, 2: 0, 3: 0, 4: 0}",1
117,False,"{'a': 0.5, 'e': 0.3103669412654859}",20,13,8.973491062652528,"{0: 6, 1: 1, 2: 0, 3: 0, 4: 0}",1
118,False,"{'a': 0.5, 'e': 0.3072787386011322}",25,17,16.198209974395013,"{0: 8, 1: 0, 2: 0, 3: 0, 4: 0}",1
119,False,"{'a': 0.5, 'e': 0.304221264066705}",30,12,29.69343548655837,"{0: 18, 1: 0, 2: 0, 3: 0, 4: 0}",1
120,False,"{'a': 0.5, 'e': 0.3011942119122031}",25,6,2.79896069614097,"{0: 16, 1: 1, 2: 2, 3: 0, 4: 0}",1
121,False,"{'a': 0.5, 'e': 0.2981972794298884}",20,10,16.94190966766446,"{0: 10, 1: 0, 2: 0, 3: 0, 4: 0}",1
122,False,"{'a': 0.5, 'e': 0.2952301669240152}",25,0,-15.740351738057148,"{0: 23, 1: 0, 2: 1, 3: 0, 4: 1}",0
123,False,"{'a': 0.5, 'e': 0.2922925776808604}",20,10,-37.84668629102563,"{0: 8, 1: 0, 2: 1, 3: 0, 4: 1}",1
124,False,"{'a': 0.5, 'e': 0.28938421793905167}",25,11,13.690099389244285,"{0: 13, 1: 1, 2: 0, 3: 0, 4: 0}",1
125,False,"{'a': 0.5, 'e': 0.28650479686019115}",35,21,-17.741375085506487,"{0: 13, 1: 0, 2: 0, 3: 0, 4: 1}",1
126,False,"{'a': 0.5, 'e': 0.28365402649977145}",20,11,20.023178521137176,"{0: 9, 1: 0, 2: 0, 3: 0, 4: 0}",1
127,False,"{'a': 0.5, 'e': 0.28083162177838084}",20,3,-65.75632239910043,"{0: 11, 1: 1, 2: 4, 3: 0, 4: 1}",1
128,False,"{'a': 0.5, 'e': 0.2780373004531952}",20,10,17.39744517353205,"{0: 10, 1: 0, 2: 0, 3: 0, 4: 0}",1
129,False,"{'a': 0.5, 'e': 0.2752707830897534}",25,16,-8.895309401331213,"{0: 7, 1: 0, 2: 2, 3: 0, 4: 0}",1
130,False,"{'a': 0.5, 'e': 0.27253179303401365}",30,5,-62.55871051444433,"{0: 18, 1: 1, 2: 5, 3: 0, 4: 1}",1
131,False,"{'a': 0.5, 'e': 0.26982005638468787}",20,8,18.233298060337134,"{0: 11, 1: 1, 2: 0, 3: 0, 4: 0}",1
132,False,"{'a': 0.5, 'e': 0.2671353019658514}",20,3,-28.87942404603923,"{0: 14, 1: 1, 2: 1, 3: 0, 4: 1}",1
133,False,"{'a': 0.5, 'e': 0.26447726129982496}",25,14,19.872751158606793,"{0: 11, 1: 0, 2: 0, 3: 0, 4: 0}",1
134,False,"{'a': 0.5, 'e': 0.261845668580327}",35,19,-27.70380453784542,"{0: 13, 1: 2, 2: 0, 3: 0, 4: 1}",1
135,False,"{'a': 0.5, 'e': 0.2592402606458925}",20,10,-7.405607643670622,"{0: 8, 1: 0, 2: 2, 3: 0, 4: 0}",1
136,False,"{'a': 0.5, 'e': 0.2566607769535569}",35,24,1.7232581331613588,"{0: 9, 1: 1, 2: 1, 3: 0, 4: 0}",1
137,False,"{'a': 0.5, 'e': 0.2541069595528013}",25,6,14.418315526760697,"{0: 17, 1: 1, 2: 1, 3: 0, 4: 0}",1
138,False,"{'a': 0.5, 'e': 0.2515785530597575}",20,8,-27.982465129592594,"{0: 10, 1: 1, 2: 0, 3: 0, 4: 1}",1
